Date,Open,High,Low,Close,Adj Close
1-Jan-08,6136.75,6300.05,6060.85,6279.1,6279.1
8-Jan-08,6282.45,6357.1,6112.55,6206.8,6206.8
15-Jan-08,6226.35,6260.45,4977.1,5208.8,5208.8
22-Jan-08,5203.35,5399.25,4448.5,5274.1,5274.1
29-Jan-08,5279.55,5545.2,5071.15,5463.5,5463.5
5-Feb-08,5463.75,5500.6,4803.6,4857,4857
12-Feb-08,4877.85,5348.6,4820.45,5276.9,5276.9
19-Feb-08,5278.4,5368.45,5055.15,5200.7,5200.7
26-Feb-08,5200.8,5368.15,4936.05,4953,4953
4-Mar-08,4958.55,4976.7,4620.5,4800.4,4800.4
11-Mar-08,4796.3,5019.2,4482.1,4503.1,4503.1
18-Mar-08,4519.9,4718.4,4468.55,4609.85,4609.85
25-Mar-08,4616.8,4970.8,4616.8,4734.5,4734.5
1-Apr-08,4735.65,4916.75,4628.75,4761.2,4761.2
8-Apr-08,4760.65,4817.4,4667.5,4777.8,4777.8
15-Apr-08,4779.95,5053.4,4708.3,5037,5037
22-Apr-08,5037.05,5147.45,4991.35,5089.65,5089.65
29-Apr-08,5092.4,5298.85,5082.15,5192.25,5192.25
6-May-08,5192.35,5206.5,4913.8,5012.65,5012.65
13-May-08,5008.6,5167.4,4932.05,5157.7,5157.7
20-May-08,5157,5160.05,4858,4875.05,4875.05
27-May-08,4877.15,4957.4,4713,4739.6,4739.6
3-Jun-08,4739.3,4746.3,4411.6,4500.95,4500.95
10-Jun-08,4522,4617.7,4369.8,4572.5,4572.5
17-Jun-08,4572.5,4679.75,4225.5,4266.4,4266.4
24-Jun-08,4271.05,4324.75,4021.7,4040.55,4040.55
1-Jul-08,4039.75,4114.5,3848.25,4030,4030
8-Jul-08,4028.7,4215.5,3896.05,4039.7,4039.7
15-Jul-08,4039.3,4168.15,3790.2,4159.5,4159.5
22-Jul-08,4158.45,4539.45,4137.95,4332.1,4332.1
29-Jul-08,4332.2,4436.15,4159.15,4395.35,4395.35
5-Aug-08,4395.8,4625.2,4376,4620.4,4620.4
12-Aug-08,4620.95,4649.85,4379.85,4393.05,4393.05
19-Aug-08,4393.1,4434.9,4248,4335.35,4335.35
26-Aug-08,4335.2,4368.8,4201.85,4348.65,4348.65
2-Sep-08,4358.85,4558,4328.9,4482.3,4482.3
9-Sep-08,4485.15,4497.5,3955.4,4072.9,4072.9
16-Sep-08,4072.55,4303.25,3799.55,4223.05,4223.05
23-Sep-08,4223.9,4224.7,3777.3,3850.05,3850.05
30-Sep-08,3848.7,4000.5,3581.6,3602.35,3602.35
7-Oct-08,3606.95,3732.65,3198.95,3490.7,3490.7
14-Oct-08,3494.1,3648.25,3046.6,3122.8,3122.8
21-Oct-08,3125.4,3254.85,2252.75,2524.2,2524.2
28-Oct-08,2526.2,3062.05,2526.2,3043.85,3043.85
4-Nov-08,3050.25,3240.55,2860.1,3148.25,3148.25
11-Nov-08,3147.2,3147.2,2694.5,2799.55,2799.55
18-Nov-08,2802.45,2802.45,2502.9,2708.25,2708.25
25-Nov-08,2708.3,2832.85,2638.2,2682.9,2682.9
2-Dec-08,2672.9,2861.55,2570.7,2784,2784
9-Dec-08,2785.7,3012.1,2785.7,2981.2,2981.2
16-Dec-08,2983.6,3110.45,2922.65,3039.3,3039.3
23-Dec-08,3039.25,3040,2812.9,2922.2,2922.2
30-Dec-08,2922.55,3131.95,2899.75,3121.45,3121.45
6-Jan-09,3121.5,3147.2,2748.55,2773.1,2773.1
13-Jan-09,2775,2868.2,2701.75,2846.2,2846.2
20-Jan-09,2842.9,2842.9,2661.65,2678.55,2678.55
27-Jan-09,2686.05,2881,2685.25,2766.65,2766.65
3-Feb-09,2773.5,2926.75,2752.9,2919.9,2919.9
10-Feb-09,2919.7,2969.75,2839.1,2848.5,2848.5
17-Feb-09,2853.85,2854.65,2709.3,2736.45,2736.45
24-Feb-09,2737.25,2797.8,2659.55,2674.6,2674.6
3-Mar-09,2672.15,2688.5,2539.45,2573.15,2573.15
10-Mar-09,2574.5,2781.95,2574.5,2777.25,2777.25
17-Mar-09,2776.35,2949.75,2738.7,2939.9,2939.9
24-Mar-09,2923.8,3123.35,2914.5,2978.15,2978.15
31-Mar-09,2981.7,3303.9,2965.7,3256.6,3256.6
7-Apr-09,3255.35,3417.8,3149.25,3382.6,3382.6
14-Apr-09,3381.45,3511.25,3311.8,3377.1,3377.1
21-Apr-09,3376.85,3517.25,3296.9,3470,3470
28-Apr-09,3469.5,3664.5,3351.5,3654,3654
5-May-09,3664.5,3717.05,3534.55,3554.6,3554.6
12-May-09,3554.65,4384.3,3534.2,4323.15,4323.15
19-May-09,4324.95,4509.4,4155.85,4237.55,4237.55
26-May-09,4239.55,4545.4,4092.25,4529.9,4529.9
2-Jun-09,4530.45,4636.85,4404.65,4429.9,4429.9
9-Jun-09,4427.75,4693.2,4365.1,4484,4484
16-Jun-09,4478.1,4537.95,4206.7,4235.25,4235.25
23-Jun-09,4223.3,4439.95,4143.25,4390.95,4390.95
30-Jun-09,4391.5,4479.8,4133.7,4165.7,4165.7
7-Jul-09,4166,4231.8,3918.75,3974.05,3974.05
14-Jul-09,3974.1,4510.3,3974.1,4502.25,4502.25
21-Jul-09,4501.5,4596.75,4380.45,4572.3,4572.3
28-Jul-09,4572.8,4723.75,4420.8,4711.4,4711.4
